open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1502942400000,301.13,301.13,300.0,301.13,3.82951,1502942699999,1152.7134416,12,3.51562,1058.5464416,0
1502942700000,300.0,301.13,298.0,298.0,1.97216,1502942999999,592.0526625,10,1.9683,590.9023825,0
1502943000000,298.0,298.0,298.0,298.0,0.0,1502943299999,0.0,0,0.0,0.0,0
1502943300000,298.0,299.05,298.0,299.05,12.88486,1502943599999,3840.084739,4,3.28872,980.435019,0
1502943600000,299.05,300.1,299.05,300.1,6.58304,1502943899999,1970.7009815,8,0.51388,153.8740015,0
1502943900000,299.4,300.8,299.39,299.39,11.97275,1502944199999,3586.1320922,14,8.31452,2490.8580302,0
1502944200000,299.39,299.39,299.39,299.39,20.79097,1502944499999,6224.6085083,14,20.79097,6224.6085083,0
1502944500000,299.39,300.79,299.39,299.6,27.59262,1502944799999,8262.6277867,8,3.03842,911.3458487,0
1502944800000,299.6,299.6,299.6,299.6,4.5522,1502945099999,1363.83912,17,4.5522,1363.83912,0
1502945100000,299.6,300.8,299.6,300.79,5.23649,1502945399999,1574.1832112,12,4.76497,1432.9158192,0
1502945400000,300.79,301.13,300.79,301.13,15.94388,1502945699999,4799.2716549,20,15.50588,4667.5256349,0
1502945700000,301.13,302.57,301.13,301.61,14.31029,1502945999999,4318.5899831,10,14.31029,4318.5899831,0
1502946000000,301.61,301.61,300.95,301.61,56.81079,1502946299999,17101.6785525,13,56.81079,17101.6785525,0
1502946300000,301.61,302.57,301.61,302.57,7.67937,1502946599999,2318.9920593,17,6.25046,1888.0185142,0
1502946600000,302.57,302.57,302.01,302.01,17.20219,1502946899999,5200.0541451,22,17.20219,5200.0541451,0
1502946900000,302.01,302.05,302.01,302.05,10.97915,1502947199999,3316.0239447,14,6.42637,1941.0388569,0
1502947200000,302.05,303.28,302.05,303.28,40.66131,1502947499999,12293.3591068,19,29.6228,8957.4385853,0
1502947500000,302.21,302.21,300.0,302.21,98.47341,1502947799999,29687.7641566,14,90.5734,27315.3911536,0
1502947800000,302.21,302.21,302.11,302.11,6.15513,1502948099999,1859.5538503,13,5.87987,1776.3675257,0
1502948100000,302.11,302.2,302.11,302.2,9.75173,1502948399999,2946.3352145,10,8.11225,2451.0319117,0
1502948400000,302.2,303.28,302.08,303.28,80.78181,1502948699999,24409.6957872,20,58.88771,17793.2987672,0
1502948700000,303.28,303.28,303.1,303.1,23.54246,1502948999999,7139.8240184,25,23.54246,7139.8240184,0
1502949000000,303.1,303.1,303.1,303.1,15.45124,1502949299999,4683.270844,23,14.61211,4428.930541,0
1502949300000,303.1,303.1,303.1,303.1,10.18387,1502949599999,3086.730997,12,10.18387,3086.730997,0
1502949600000,302.4,302.41,302.4,302.41,15.3978,1502949899999,4656.3466029,13,15.28825,4623.2186829,0
1502949900000,302.41,302.61,302.41,302.41,10.22004,1502950199999,3090.8658664,17,4.80429,1453.0889089,0
1502950200000,302.61,302.61,302.61,302.61,14.80194,1502950499999,4479.2150634,17,14.80194,4479.2150634,0
1502950500000,302.02,303.71,302.02,303.71,70.10305,1502950799999,21191.9325757,16,64.76455,19578.5844907,0
1502950800000,303.71,303.71,303.11,303.11,3.50706,1502951099999,1064.3631546,15,3.50706,1064.3631546,0
1502951100000,303.11,303.11,303.11,303.11,3.23486,1502951399999,980.5184146,11,3.23486,980.5184146,0
1502951400000,303.11,303.11,303.11,303.11,20.95731,1502951699999,6352.3702341,14,20.41894,6189.1849034,0
1502951700000,303.11,304.44,302.75,303.61,93.86196,1502951999999,28463.6034997,20,78.97442,23935.6122927,0
1502952000000,303.6,303.61,303.6,303.61,34.04213,1502952299999,10335.3488266,17,27.44651,8332.9185946,0
1502952300000,303.61,303.61,303.61,303.61,3.55213,1502952599999,1078.4621893,11,3.55213,1078.4621893,0
1502952600000,303.61,303.61,301.9,302.68,18.75222,1502952899999,5669.179797,21,7.05751,2138.546848,0
1502952900000,302.68,302.68,302.68,302.68,15.43622,1502953199999,4672.2350696,10,15.43622,4672.2350696,0
1502953200000,302.68,303.61,302.6,303.61,19.08654,1502953499999,5777.7451842,18,18.92817,5729.8097526,0
1502953500000,303.61,303.61,303.0,303.61,27.62717,1502953799999,8380.7772112,15,14.49696,4401.4220256,0
1502953800000,303.61,303.61,302.75,303.61,77.42086,1502954099999,23462.3164532,10,77.42086,23462.3164532,0
1502954100000,303.61,304.97,303.61,304.97,75.58038,1502954399999,22965.030033,14,52.04678,15817.0908894,0
1502954400000,304.61,304.61,303.8,304.61,126.56651,1502954699999,38512.2185098,21,97.19015,29563.8854902,0
1502954700000,304.61,304.61,303.8,304.61,110.96595,1502954999999,33759.7127694,16,91.45961,27817.886542,0
1502955000000,304.61,304.61,304.61,304.61,68.52014,1502955299999,20871.9198454,12,26.25316,7996.9750676,0
1502955300000,304.61,304.61,304.61,304.61,19.98996,1502955599999,6089.1417156,16,19.98996,6089.1417156,0
1502955600000,304.61,304.61,304.61,304.61,34.18015,1502955899999,10411.6154915,10,34.18015,10411.6154915,0
1502955900000,304.61,305.11,304.53,305.11,71.6749,1502956199999,21834.5763928,16,68.52895,20876.2885633,0
1502956200000,305.11,306.13,305.11,305.62,68.43772,1502956499999,20909.7517264,21,52.45955,16034.6522777,0
1502956500000,305.62,307.96,304.95,307.96,54.69482,1502956799999,16750.3316347,29,39.47746,12096.8826922,0
1502956800000,307.95,308.65,307.39,307.95,12.04118,1502957099999,3707.8678979,17,10.59781,3263.9399825,0
1502957100000,308.65,308.65,308.65,308.65,7.30801,1502957399999,2255.6172865,14,7.30801,2255.6172865,0
1502957400000,308.65,309.48,308.43,308.43,56.31996,1502957699999,17375.2759724,15,55.07929,16992.0013479,0
1502957700000,309.48,309.48,307.39,307.39,2.15714,1502957999999,667.251268,13,1.99426,617.1835848,0
